TT I
4.909524244902505 73.3071
4.931843734218147 75.41199999999999
4.954180820867835 78.1464
4.976518095879839 81.0837
4.998838149695359 84.0488
5.021175803844231 87.2488
5.043496238205739 90.26799999999999
5.065834274903528 94.6332
5.088172504230693 100.01
5.1104935158799565 105.97399999999999
5.132832132875765 127.715
5.155153533596801 168.49200000000002
5.1774925416746225 201.418
5.199814334878411 355.17800000000005
5.2221537374521505 1019.85
5.244493338631803 2898.74
5.266815727034316 7702.11
5.289155727832427 12597.4
5.311478517248165 8766.74
5.333818921080011 2825.06
5.356159527788849 540.847
5.3784829252032536 181.771
5.400823940070432 142.709
5.423147747031976 127.13600000000001
5.445489173474152 117.911
5.467830807066149 112.647
5.490155234831516 108.77
5.512497285125229 105.177
5.534822130975162 103.645
5.557164601388673 101.98899999999999
5.579489868738879 98.8761
5.601832762690846 98.8395
5.6241758697774475 97.5605
5.646501775867269 96.8187
5.668845311622074 95.1365
5.691171647754637 93.8597
5.713515615597765 92.9749
5.735859800852677 92.4891
5.758186788542988 91.8008
5.780531411018185 91.6372
5.802858837297399 91.4135
5.825203900414495 91.2472
5.8475491852224 91.3839
5.869877275883075 91.7325
5.892223006467101 93.2795
5.914551544266608 94.2657
5.936897724049891 97.38799999999999
5.959244129804903 103.162
5.981573344815301 122.22399999999999
6.0039202049061 209.655
6.026249875609095 461.733
6.04859719346037 986.1339999999999
6.070927323278297 2213.7
6.093275102315365 4513.6
6.115623113320588 5237.46
6.137953938319995 3234.3
6.160302415650845 940.788
6.182633708324452 219.585
6.2049826554078376 111.53399999999999
6.227331838745022 92.2667
6.249663839443684 84.6429
6.27201349767565 82.2274
6.294345974611799 87.8726
6.316696111167083 97.8855
6.339046488263839 92.678
6.361379686074702 78.8103
6.383730546639482 71.7061
6.406064229255215 68.8088
6.428415576718203 68.423
6.450749747566656 67.3531
6.47310158535871 65.9528
6.495453669698332 65.0601
6.517788579421056 64.5795
6.540141159237969 63.4345
6.562476565766648 63.1567
6.5848296444934045 62.7888
6.607182974060425 62.4317
6.6295191323281015 62.2189
6.651872965955752 65.6991
6.6742096296068985 89.4302
6.6965639707294615 130.658
6.71891856698715 130.269
6.741255995248479 90.9201
6.763611104154477 67.2072
6.785949046381137 60.3823
6.808304671371482 58.5803
6.8306605557940046 57.8619
6.852999275508618 57.1659
6.875355681171544 56.9647
6.897694923437771 57.1486
6.92005185377892 56.8162
6.9423916220322655 56.5298
6.964749080490181 55.9062
6.987106804399774 55.9089
7.009447368180821 55.808
7.031805625367033 55.4205
7.054146723727803 55.2535
7.076505517631004 55.0709
7.098864581288365 55.1781
7.121206488070854 54.9905
7.143566093607822 55.0285
7.165908543567245 55.1461
7.188268694426048 55.2732
7.2106291193438095 55.4516
7.232972390625943 56.8325
7.255333366030969 68.8616
7.277677189091925 119.301
7.300038718428332 161.054
7.322400526130865 135.94799999999998
7.344745183422596 85.4426
7.367107550224791 60.8851
7.389452767901992 56.1064
7.411815697249891 55.3694
7.434161478756298 54.3074
7.456524974096713 54.1386
7.478888753837185 54.0974
7.501235387657368 54.4345
7.523599738562711 54.623000000000005
7.545946944825532 54.9188
7.568311870344528 55.6604
7.5906770845765665 55.6345
7.613025156078678 56.6866
7.635390950099687 57.8691
7.657739602662809 57.2523
7.680105979923558 56.0003
7.702472650212829 56.1991
7.724822180948224 55.766000000000005
7.747189439655568 55.7797
7.769539560075357 56.1527
7.791907410653562 56.3968
7.81425812420825 56.5472
7.836626570110925 57.1195
7.858995315087906 57.9319
7.881346924933401 57.9162
7.903716270417482 58.5432
7.926068482028405 58.3344
7.948438431475253 59.2205
7.9708086843180235 60.2173
7.993161805171116 60.4733
8.015532667162402 60.7089
8.037886398416653 61.3249
8.060257873014221 62.1966
8.082629655331942 62.7954
8.104984308787587 63.9733
8.127356708900503 67.1401
8.149711981398308 72.2066
8.172085002766314 74.3572
8.194458336181368 71.3584
8.216814543847752 69.1012
8.23918850371002 69.5601
8.26154533906492 70.4174
8.283919928836452 71.8863
8.306277395339652 72.8854
8.328652618483376 74.4336
8.351028159736202 76.4904
8.373386579575245 78.5178
8.395762759396959 80.1312
8.418121819038275 85.2743
8.440498640894003 97.9818
8.462875785192262 111.186
8.485235811156207 123.97
8.507613602688501 167.334
8.529974277114228 256.69
8.552352719347912 396.309
8.574731488360351 661.683
